A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A11,B51,CW9,DQ2,DR17,NA,DR52,NA,7.02325e-5
A11,B51,CW9,DQ6,DR15,DR51,NA,NA,6.01993e-5
A11,B51,CW9,DQ7,DR11,NA,DR52,NA,6.01993e-5
A11,B51,CW9,DQ7,DR12,NA,DR52,NA,1.30432e-4
A11,B51,CW9,DQ8,DR4,NA,NA,DR53,2.5083e-4
A11,B51,CW9,DQ9,DR9,NA,NA,DR53,1.40465e-4
A11,B52,CW12,DQ2,DR17,NA,DR52,NA,6.01993e-5
A11,B52,CW12,DQ2,DR7,NA,NA,DR53,7.02325e-5
A11,B52,CW12,DQ4,DR8,NA,NA,DR53,6.01993e-5
A11,B52,CW12,DQ5,DR1,NA,NA,NA,3.81262e-4
A11,B52,CW12,DQ6,DR13,NA,DR52,NA,3.21063e-4
A11,B52,CW12,DQ6,DR15,DR51,NA,NA,0.002086908
A11,B52,CW12,DQ7,DR11,NA,DR52,NA,6.01993e-5
A11,B53,CW4,DQ6,DR13,NA,DR52,NA,6.01993e-5
A11,B55,CW1,DQ6,DR13,NA,DR52,NA,6.01993e-5
A11,B55,CW7,DQ6,DR13,NA,DR52,NA,6.01993e-5
A11,B55,CW9,DQ2,DR17,NA,DR52,NA,1.30432e-4
A11,B55,CW9,DQ2,DR7,NA,NA,DR53,1.80598e-4
A11,B55,CW9,DQ4,DR8,NA,NA,DR53,1.10365e-4
A11,B55,CW9,DQ5,DR1,NA,NA,NA,5.41793e-4
A11,B55,CW9,DQ5,DR103,NA,NA,NA,6.01993e-5
A11,B55,CW9,DQ5,DR14,NA,DR52,NA,0.001816011
A11,B55,CW9,DQ5,DR16,DR51,NA,NA,2.00664e-5
A11,B55,CW9,DQ6,DR13,NA,DR52,NA,6.01993e-4
A11,B55,CW9,DQ6,DR15,DR51,NA,NA,7.22391e-4
A11,B55,CW9,DQ7,DR11,NA,DR52,NA,1.00332e-4
A11,B55,CW9,DQ7,DR4,NA,NA,DR53,0.001244118
A11,B55,CW9,DQ8,DR4,NA,NA,DR53,1.40465e-4
A11,B55,CW9,DQ9,DR7,NA,NA,DR53,6.01993e-5
A11,B56,CW1,DQ5,DR1,NA,NA,NA,5.01661e-4
A11,B56,CW1,DQ6,DR13,NA,DR52,NA,5.0166e-5
